i,e,c,p,l,real,predict
i01,e04,c1,p11,l3,0,0
i01,e04,c1,p12,l3,0,0
i01,e04,c1,p13,l3,0,0
i01,e04,c1,p14,l3,0,0
i01,e04,c1,p15,l3,0,0
i01,e04,c1,p16,l3,0,0
i01,e04,c1,p17,l3,0,0
i01,e04,c1,p18,l3,0,0
i01,e04,c1,p19,l3,2,2
i01,e04,c1,p20,l3,0,0
i01,e04,c1,p21,l3,0,0
i01,e04,c1,p22,l3,0,0
i01,e04,c1,p23,l3,0,0
i01,e04,c1,p24,l3,1,1
i01,e04,c1,p25,l3,0,0
i01,e04,c1,p26,l3,0,0
i01,e04,c1,p28,l3,0,0
i01,e04,c1,p29,l3,0,0
i01,e04,c1,p30,l3,0,0
i01,e04,c1,p31,l3,0,0
i01,e04,c1,p32,l3,0,0
i01,e04,c1,p33,l3,0,0
i01,e04,c1,p34,l3,0,0
i01,e04,c1,p35,l3,1,1
i01,e04,c4,p01,l3,0,0
i01,e04,c4,p09,l3,0,0
i01,e04,c4,p10,l3,0,0
i01,e04,c4,p13,l3,0,0
i01,e04,c4,p15,l3,0,0
i01,e04,c4,p16,l3,0,0
i01,e04,c4,p19,l3,0,0
i01,e04,c4,p22,l3,0,0
i01,e04,c4,p23,l3,0,0
i01,e04,c4,p35,l3,0,0
i01,e04,c7,p35,l3,0,0
i01,e05,c1,p01,l3,0,0
i01,e05,c1,p02,l3,0,0
i01,e05,c1,p03,l3,1,1
i01,e05,c1,p04,l3,0,0
i01,e05,c1,p05,l3,0,0
i01,e05,c1,p06,l3,0,0
i01,e05,c1,p07,l3,0,0
i01,e05,c1,p08,l3,0,0
i01,e05,c1,p09,l3,0,0
i01,e05,c1,p10,l3,0,0
i01,e05,c1,p11,l3,0,0
i01,e05,c1,p12,l3,0,0
i01,e05,c1,p13,l3,0,0
i01,e05,c1,p14,l3,0,0
i01,e05,c1,p15,l3,0,0
i01,e05,c1,p16,l3,0,0
i01,e05,c1,p17,l3,0,0
i01,e05,c1,p18,l3,0,0
i01,e05,c1,p19,l3,0,0
i01,e05,c1,p21,l3,0,0
i01,e05,c1,p22,l3,0,0
i01,e05,c1,p23,l3,0,0
i01,e05,c1,p24,l3,0,0
i01,e05,c1,p25,l3,0,0
i01,e05,c1,p28,l3,0,0
i01,e05,c1,p29,l3,0,0
i01,e05,c1,p31,l3,0,0
i01,e05,c1,p32,l3,0,0
i01,e05,c1,p33,l3,0,0
i01,e05,c1,p35,l3,0,0
i01,e05,c4,p35,l3,0,0
i01,e07,c1,p03,l3,0,0
i01,e07,c1,p05,l3,0,0
i01,e07,c1,p10,l3,0,0
i01,e07,c1,p11,l3,0,0
i01,e07,c1,p21,l3,0,0
i01,e07,c1,p35,l3,1,1
i01,e08,c1,p01,l3,1,1
i01,e08,c1,p02,l3,0,0
i01,e08,c1,p03,l3,3,3
i01,e08,c1,p04,l3,0,0
i01,e08,c1,p05,l3,0,0
i01,e08,c1,p06,l3,0,0
i01,e08,c1,p07,l3,11,11
i01,e08,c1,p08,l3,0,0
i01,e08,c1,p09,l3,0,0
i01,e08,c1,p10,l3,8,8
i01,e08,c1,p11,l3,8,8
i01,e08,c1,p12,l3,0,0
i01,e08,c1,p13,l3,0,0
i01,e08,c1,p14,l3,0,0
i01,e08,c1,p15,l3,0,0
i01,e08,c1,p16,l3,0,0
i01,e08,c1,p17,l3,0,0
i01,e08,c1,p18,l3,0,0
i01,e08,c1,p19,l3,72,71
i01,e08,c1,p20,l3,0,0
i01,e08,c1,p21,l3,0,0
i01,e08,c1,p22,l3,0,0
i01,e08,c1,p23,l3,0,0
i01,e08,c1,p24,l3,0,0
i01,e08,c1,p25,l3,1,1
i01,e08,c1,p26,l3,0,0
i01,e08,c1,p28,l3,0,0
i01,e08,c1,p29,l3,7,7
i01,e08,c1,p30,l3,0,0
i01,e08,c1,p31,l3,0,0
i01,e08,c1,p32,l3,0,0
i01,e08,c1,p33,l3,0,0
i01,e08,c1,p34,l3,0,0
i01,e08,c1,p35,l3,59,54
i01,e08,c4,p01,l3,0,0
i01,e08,c4,p07,l3,0,0
i01,e08,c4,p08,l3,0,0
i01,e08,c4,p09,l3,0,0
i01,e08,c4,p10,l3,0,0
i01,e08,c4,p11,l3,0,0
i01,e08,c4,p12,l3,0,0
i01,e08,c4,p13,l3,0,0
i01,e08,c4,p15,l3,0,0
i01,e08,c4,p16,l3,0,0
i01,e08,c4,p19,l3,0,0
i01,e08,c4,p21,l3,0,0
i01,e08,c4,p22,l3,0,0
i01,e08,c4,p23,l3,0,0
i01,e08,c4,p35,l3,0,0
i01,e08,c7,p35,l3,0,0
i01,e08,c8,p04,l3,0,0
i01,e09,c1,p01,l3,0,0
i01,e09,c1,p02,l3,0,0
i01,e09,c1,p03,l3,0,0
i01,e09,c1,p04,l3,0,0
i01,e09,c1,p05,l3,1,1
i01,e09,c1,p06,l3,0,0
i01,e09,c1,p07,l3,0,0
i01,e09,c1,p08,l3,0,0
i01,e09,c1,p09,l3,0,0
i01,e09,c1,p10,l3,0,0
i01,e09,c1,p11,l3,0,0
i01,e09,c1,p12,l3,0,0
i01,e09,c1,p13,l3,0,0
i01,e09,c1,p14,l3,0,0
i01,e09,c1,p15,l3,0,0
i01,e09,c1,p16,l3,0,0
i01,e09,c1,p17,l3,0,0
i01,e09,c1,p18,l3,0,0
i01,e09,c1,p19,l3,2,2
i01,e09,c1,p20,l3,0,0
i01,e09,c1,p21,l3,0,0
i01,e09,c1,p22,l3,1,1
i01,e09,c1,p23,l3,1,1
i01,e09,c1,p24,l3,6,6
i01,e09,c1,p25,l3,0,0
i01,e09,c1,p26,l3,0,0
i01,e09,c1,p28,l3,1,1
i01,e09,c1,p29,l3,1,1
i01,e09,c1,p30,l3,0,0
i01,e09,c1,p31,l3,0,0
i01,e09,c1,p32,l3,0,0
i01,e09,c1,p33,l3,0,0
i01,e09,c1,p35,l3,13,15
i01,e09,c4,p01,l3,0,0
i01,e09,c4,p07,l3,0,0
i01,e09,c4,p09,l3,0,0
i01,e09,c4,p10,l3,0,0
i01,e09,c4,p11,l3,0,0
i01,e09,c4,p13,l3,0,0
i01,e09,c4,p15,l3,0,0
i01,e09,c4,p16,l3,0,0
i01,e09,c4,p19,l3,0,0
i01,e09,c4,p21,l3,0,0
i01,e09,c4,p23,l3,0,0
i01,e09,c4,p35,l3,0,0
i01,e09,c7,p35,l3,0,0
i01,e11,c1,p01,l3,2,2
i01,e11,c1,p02,l3,0,0
i01,e11,c1,p03,l3,1,1
i01,e11,c1,p04,l3,0,0
i01,e11,c1,p05,l3,0,0
i01,e11,c1,p06,l3,0,0
i01,e11,c1,p07,l3,0,0
i01,e11,c1,p08,l3,0,0
i01,e11,c1,p09,l3,0,0
i01,e11,c1,p10,l3,2,2
i01,e11,c1,p11,l3,0,0
i01,e11,c1,p12,l3,2,2
i01,e11,c1,p13,l3,0,0
i01,e11,c1,p14,l3,0,0
i01,e11,c1,p15,l3,0,0
i01,e11,c1,p16,l3,0,0
i01,e11,c1,p17,l3,0,0
i01,e11,c1,p18,l3,0,0
i01,e11,c1,p19,l3,1,1
i01,e11,c1,p20,l3,0,0
i01,e11,c1,p21,l3,0,0
i01,e11,c1,p22,l3,0,0
i01,e11,c1,p23,l3,2,2
i01,e11,c1,p24,l3,2,2
i01,e11,c1,p25,l3,0,0
i01,e11,c1,p26,l3,0,0
i01,e11,c1,p28,l3,0,0
i01,e11,c1,p29,l3,0,0
i01,e11,c1,p30,l3,0,0
i01,e11,c1,p31,l3,0,0
i01,e11,c1,p32,l3,0,0
i01,e11,c1,p33,l3,0,0
i01,e11,c1,p35,l3,15,15
i01,e11,c4,p01,l3,0,0
i01,e11,c4,p07,l3,0,0
i01,e11,c4,p08,l3,0,0
i01,e11,c4,p09,l3,0,0
i01,e11,c4,p10,l3,0,0
i01,e11,c4,p11,l3,0,0
i01,e11,c4,p13,l3,0,0
i01,e11,c4,p15,l3,0,0
i01,e11,c4,p16,l3,0,0
i01,e11,c4,p19,l3,0,0
i01,e11,c4,p21,l3,0,0
i01,e11,c4,p22,l3,0,0
i01,e11,c4,p23,l3,0,0
i01,e11,c4,p26,l3,0,0
i01,e11,c4,p35,l3,0,0
i01,e12,c1,p01,l3,0,0
i01,e12,c1,p02,l3,0,0
i01,e12,c1,p03,l3,6,6
i01,e12,c1,p04,l3,5,5
i01,e12,c1,p05,l3,0,0
i01,e12,c1,p06,l3,0,0
i01,e12,c1,p09,l3,0,0
i01,e12,c1,p10,l3,0,0
i01,e12,c1,p11,l3,0,0
i01,e12,c1,p13,l3,0,0
i01,e12,c1,p14,l3,0,0
i01,e12,c1,p15,l3,0,0
i01,e12,c1,p16,l3,0,0
i01,e12,c1,p17,l3,0,0
i01,e12,c1,p18,l3,0,0
i01,e12,c1,p19,l3,0,0
i01,e12,c1,p20,l3,0,0
i01,e12,c1,p21,l3,0,0
i01,e12,c1,p22,l3,0,0
i01,e12,c1,p23,l3,0,0
i01,e12,c1,p24,l3,0,0
i01,e12,c1,p25,l3,0,0
i01,e12,c1,p26,l3,0,0
i01,e12,c1,p28,l3,0,0
i01,e12,c1,p29,l3,0,0
i01,e12,c1,p35,l3,4,4
i01,e12,c4,p35,l3,0,0
i02,e01,c1,p01,l3,17,17
i02,e01,c1,p02,l3,101,100
i02,e01,c1,p03,l3,14,13
i02,e01,c1,p04,l3,46,44
i02,e01,c1,p05,l3,6,6
i02,e01,c1,p06,l3,3,3
i02,e01,c1,p07,l3,11,12
i02,e01,c1,p08,l3,1,1
i02,e01,c1,p09,l3,0,0
i02,e01,c1,p10,l3,79,78
i02,e01,c1,p11,l3,22,24
i02,e01,c1,p12,l3,21,20
i02,e01,c1,p13,l3,58,58
i02,e01,c1,p14,l3,20,21
i02,e01,c1,p15,l3,6,6
i02,e01,c1,p16,l3,11,12
i02,e01,c1,p17,l3,10,10
i02,e01,c1,p18,l3,12,11
i02,e01,c1,p19,l3,255,244
i02,e01,c1,p20,l3,0,0
i02,e01,c1,p21,l3,31,30
i02,e01,c1,p22,l3,4,4
i02,e01,c1,p23,l3,7,7
i02,e01,c1,p24,l3,23,21
i02,e01,c1,p25,l3,10,10
i02,e01,c1,p26,l3,0,0
i02,e01,c1,p28,l3,6,6
i02,e01,c1,p29,l3,16,17
i02,e01,c1,p30,l3,0,0
i02,e01,c1,p31,l3,1,1
i02,e01,c1,p32,l3,1,1
i02,e01,c1,p33,l3,0,0
i02,e01,c1,p34,l3,0,0
i02,e01,c1,p35,l3,12,12
i02,e01,c4,p02,l3,0,0
i02,e01,c4,p04,l3,0,0
i02,e01,c4,p05,l3,0,0
i02,e01,c4,p07,l3,0,0
i02,e01,c4,p08,l3,0,0
i02,e01,c4,p09,l3,0,0
i02,e01,c4,p10,l3,0,0
i02,e01,c4,p11,l3,0,0
i02,e01,c4,p12,l3,0,0
i02,e01,c4,p13,l3,0,0
i02,e01,c4,p14,l3,0,0
i02,e01,c4,p15,l3,0,0
i02,e01,c4,p16,l3,0,0
i02,e01,c4,p17,l3,0,0
i02,e01,c4,p18,l3,0,0
i02,e01,c4,p19,l3,0,0
i02,e01,c4,p24,l3,0,0
i02,e01,c4,p25,l3,0,0
i02,e01,c4,p28,l3,0,0
i02,e01,c4,p29,l3,0,0
i02,e01,c4,p32,l3,0,0
i02,e01,c4,p35,l3,0,0
i02,e01,c7,p12,l3,0,0
i02,e01,c7,p35,l3,0,0
i02,e04,c1,p01,l3,2,2
i02,e04,c1,p02,l3,0,0
i02,e04,c1,p03,l3,26,25
i02,e04,c1,p04,l3,9,10
i02,e04,c1,p05,l3,3,3
i02,e04,c1,p06,l3,5,5
i02,e04,c1,p07,l3,1,1
i02,e04,c1,p08,l3,0,0
i02,e04,c1,p09,l3,50,46
i02,e04,c1,p10,l3,40,39
i02,e04,c1,p11,l3,25,26
i02,e04,c1,p12,l3,16,16
i02,e04,c1,p13,l3,53,52
i02,e04,c1,p14,l3,6,6
i02,e04,c1,p15,l3,3,3
i02,e04,c1,p16,l3,23,24
i02,e04,c1,p17,l3,4,4
i02,e04,c1,p18,l3,3,3
i02,e04,c1,p19,l3,250,250
i02,e04,c1,p20,l3,0,0
i02,e04,c1,p21,l3,12,12
i02,e04,c1,p22,l3,15,15
i02,e04,c1,p23,l3,35,31
i02,e04,c1,p24,l3,2,2
i02,e04,c1,p25,l3,3,3
i02,e04,c1,p26,l3,0,0
i02,e04,c1,p28,l3,0,0
i02,e04,c1,p29,l3,21,21
i02,e04,c1,p30,l3,0,0
i02,e04,c1,p31,l3,0,0
i02,e04,c1,p32,l3,0,0
i02,e04,c1,p33,l3,0,0
i02,e04,c1,p34,l3,0,0
i02,e04,c1,p35,l3,5,5
i02,e04,c4,p02,l3,0,0
i02,e04,c4,p04,l3,0,0
i02,e04,c4,p05,l3,0,0
i02,e04,c4,p07,l3,0,0
i02,e04,c4,p08,l3,0,0
i02,e04,c4,p09,l3,0,0
i02,e04,c4,p10,l3,10,9
i02,e04,c4,p11,l3,0,0
i02,e04,c4,p13,l3,0,0
i02,e04,c4,p14,l3,0,0
i02,e04,c4,p15,l3,0,0
i02,e04,c4,p16,l3,0,0
i02,e04,c4,p17,l3,0,0
i02,e04,c4,p18,l3,0,0
i02,e04,c4,p19,l3,0,0
i02,e04,c4,p24,l3,0,0
i02,e04,c4,p25,l3,0,0
i02,e04,c4,p28,l3,0,0
i02,e04,c4,p29,l3,0,0
i02,e04,c4,p32,l3,0,0
i02,e04,c4,p35,l3,0,0
i02,e04,c7,p12,l3,0,0
i02,e04,c7,p35,l3,0,0
i02,e05,c1,p01,l3,0,0
i02,e05,c1,p02,l3,0,0
i02,e05,c1,p03,l3,0,0
i02,e05,c1,p04,l3,0,0
i02,e05,c1,p05,l3,0,0
i02,e05,c1,p06,l3,0,0
i02,e05,c1,p07,l3,0,0
i02,e05,c1,p08,l3,0,0
i02,e05,c1,p09,l3,0,0
i02,e05,c1,p10,l3,0,0
i02,e05,c1,p11,l3,0,0
i02,e05,c1,p12,l3,0,0
i02,e05,c1,p13,l3,0,0
i02,e05,c1,p14,l3,0,0
i02,e05,c1,p15,l3,0,0
i02,e05,c1,p16,l3,0,0
i02,e05,c1,p17,l3,0,0
i02,e05,c1,p18,l3,0,0
i02,e05,c1,p19,l3,1,1
i02,e05,c1,p20,l3,0,0
i02,e05,c1,p21,l3,0,0
i02,e05,c1,p22,l3,0,0
i02,e05,c1,p23,l3,0,0
i02,e05,c1,p24,l3,0,0
i02,e05,c1,p25,l3,0,0
i02,e05,c1,p26,l3,0,0
i02,e05,c1,p28,l3,0,0
i02,e05,c1,p29,l3,0,0
i02,e05,c1,p31,l3,0,0
i02,e05,c1,p32,l3,0,0
i02,e05,c1,p35,l3,1,1
i02,e05,c4,p15,l3,0,0
i02,e05,c4,p18,l3,0,0
i02,e05,c4,p19,l3,0,0
i02,e05,c4,p35,l3,0,0
i02,e06,c1,p01,l3,0,0
i02,e06,c1,p02,l3,0,0
i02,e06,c1,p03,l3,0,0
i02,e06,c1,p04,l3,0,0
i02,e06,c1,p05,l3,0,0
i02,e06,c1,p06,l3,0,0
i02,e06,c1,p07,l3,0,0
i02,e06,c1,p08,l3,0,0
i02,e06,c1,p09,l3,0,0
i02,e06,c1,p10,l3,0,0
i02,e06,c1,p11,l3,0,0
i02,e06,c1,p12,l3,0,0
i02,e06,c1,p13,l3,1,1
i02,e06,c1,p14,l3,0,0
i02,e06,c1,p15,l3,0,0
i02,e06,c1,p16,l3,0,0
i02,e06,c1,p17,l3,0,0
i02,e06,c1,p18,l3,0,0
i02,e06,c1,p19,l3,1,1
i02,e06,c1,p20,l3,0,0
i02,e06,c1,p21,l3,0,0
i02,e06,c1,p22,l3,0,0
i02,e06,c1,p23,l3,0,0
i02,e06,c1,p24,l3,0,0
i02,e06,c1,p25,l3,0,0
i02,e06,c1,p26,l3,0,0
i02,e06,c1,p28,l3,0,0
i02,e06,c1,p29,l3,0,0
i02,e06,c1,p32,l3,0,0
i02,e06,c1,p35,l3,0,0
i02,e06,c4,p19,l3,0,0
i02,e07,c1,p01,l3,0,0
i02,e07,c1,p03,l3,0,0
i02,e07,c1,p04,l3,0,0
i02,e07,c1,p05,l3,0,0
i02,e07,c1,p06,l3,0,0
i02,e07,c1,p07,l3,0,0
i02,e07,c1,p09,l3,0,0
i02,e07,c1,p10,l3,0,0
i02,e07,c1,p11,l3,0,0
i02,e07,c1,p12,l3,0,0
i02,e07,c1,p13,l3,0,0
i02,e07,c1,p14,l3,0,0
i02,e07,c1,p15,l3,0,0
i02,e07,c1,p16,l3,0,0
i02,e07,c1,p17,l3,0,0
i02,e07,c1,p18,l3,0,0
i02,e07,c1,p19,l3,0,0
i02,e07,c1,p21,l3,0,0
i02,e07,c1,p23,l3,0,0
i02,e07,c1,p24,l3,0,0
i02,e07,c1,p25,l3,0,0
i02,e07,c1,p29,l3,0,0
i02,e07,c1,p35,l3,0,0
i02,e07,c4,p15,l3,0,0
i02,e08,c1,p01,l3,23,24
i02,e08,c1,p02,l3,0,0
i02,e08,c1,p03,l3,38,37
i02,e08,c1,p04,l3,41,41
i02,e08,c1,p05,l3,3,3
i02,e08,c1,p06,l3,24,25
i02,e08,c1,p07,l3,56,58
i02,e08,c1,p08,l3,9,9
i02,e08,c1,p09,l3,4,4
i02,e08,c1,p10,l3,127,139
i02,e08,c1,p11,l3,26,24
i02,e08,c1,p12,l3,43,41
i02,e08,c1,p13,l3,202,241
i02,e08,c1,p14,l3,52,57
i02,e08,c1,p15,l3,53,47
i02,e08,c1,p16,l3,133,140
i02,e08,c1,p17,l3,392,384
i02,e08,c1,p18,l3,65,64
i02,e08,c1,p19,l3,481,460
i02,e08,c1,p20,l3,0,0
i02,e08,c1,p21,l3,40,40
i02,e08,c1,p22,l3,53,54
i02,e08,c1,p23,l3,30,27
i02,e08,c1,p24,l3,93,99
i02,e08,c1,p25,l3,4,4
i02,e08,c1,p26,l3,0,0
i02,e08,c1,p28,l3,0,0
i02,e08,c1,p29,l3,41,40
i02,e08,c1,p30,l3,0,0
i02,e08,c1,p31,l3,0,0
i02,e08,c1,p32,l3,0,0
i02,e08,c1,p33,l3,0,0
i02,e08,c1,p35,l3,82,86
i02,e08,c4,p02,l3,0,0
i02,e08,c4,p04,l3,0,0
i02,e08,c4,p05,l3,0,0
i02,e08,c4,p07,l3,0,0
i02,e08,c4,p08,l3,0,0
i02,e08,c4,p09,l3,0,0
i02,e08,c4,p10,l3,9,8
i02,e08,c4,p11,l3,0,0
i02,e08,c4,p13,l3,0,0
i02,e08,c4,p14,l3,0,0
i02,e08,c4,p15,l3,0,0
i02,e08,c4,p16,l3,0,0
i02,e08,c4,p17,l3,0,0
i02,e08,c4,p18,l3,0,0
i02,e08,c4,p19,l3,0,0
i02,e08,c4,p24,l3,0,0
i02,e08,c4,p25,l3,0,0
i02,e08,c4,p28,l3,0,0
i02,e08,c4,p29,l3,0,0
i02,e08,c4,p32,l3,0,0
i02,e08,c4,p35,l3,0,0
i02,e08,c7,p12,l3,0,0
i02,e08,c7,p35,l3,0,0
i02,e09,c1,p01,l3,25,24
i02,e09,c1,p02,l3,0,0
i02,e09,c1,p03,l3,20,21
i02,e09,c1,p04,l3,8,8
i02,e09,c1,p05,l3,9,9
i02,e09,c1,p06,l3,1,1
i02,e09,c1,p07,l3,14,16
i02,e09,c1,p08,l3,2,2
i02,e09,c1,p09,l3,2,2
i02,e09,c1,p10,l3,58,59
i02,e09,c1,p11,l3,26,26
i02,e09,c1,p12,l3,14,13
i02,e09,c1,p13,l3,54,51
i02,e09,c1,p14,l3,9,10
i02,e09,c1,p15,l3,4,4
i02,e09,c1,p16,l3,15,15
i02,e09,c1,p17,l3,7,7
i02,e09,c1,p18,l3,21,21
i02,e09,c1,p19,l3,301,289
i02,e09,c1,p20,l3,0,0
i02,e09,c1,p21,l3,38,37
i02,e09,c1,p22,l3,2,2
i02,e09,c1,p23,l3,8,8
i02,e09,c1,p24,l3,11,13
i02,e09,c1,p25,l3,9,9
i02,e09,c1,p26,l3,0,0
i02,e09,c1,p28,l3,3,3
i02,e09,c1,p29,l3,12,12
i02,e09,c1,p30,l3,0,0
i02,e09,c1,p31,l3,0,0
i02,e09,c1,p32,l3,0,0
i02,e09,c1,p33,l3,0,0
i02,e09,c1,p34,l3,0,0
i02,e09,c1,p35,l3,14,14
i02,e09,c4,p02,l3,0,0
i02,e09,c4,p04,l3,1,1
i02,e09,c4,p05,l3,0,0
i02,e09,c4,p07,l3,0,0
i02,e09,c4,p08,l3,0,0
i02,e09,c4,p09,l3,0,0
i02,e09,c4,p10,l3,3,3
i02,e09,c4,p11,l3,0,0
i02,e09,c4,p12,l3,0,0
i02,e09,c4,p13,l3,0,0
i02,e09,c4,p14,l3,0,0
i02,e09,c4,p15,l3,0,0
i02,e09,c4,p16,l3,0,0
i02,e09,c4,p17,l3,0,0
i02,e09,c4,p18,l3,0,0
i02,e09,c4,p19,l3,0,0
i02,e09,c4,p24,l3,0,0
i02,e09,c4,p25,l3,0,0
i02,e09,c4,p28,l3,0,0
i02,e09,c4,p29,l3,0,0
i02,e09,c4,p32,l3,0,0
i02,e09,c4,p35,l3,0,0
i02,e09,c7,p12,l3,0,0
i02,e09,c7,p35,l3,0,0
i02,e11,c1,p01,l3,0,0
i02,e11,c1,p02,l3,0,0
i02,e11,c1,p03,l3,0,0
i02,e11,c1,p04,l3,0,0
i02,e11,c1,p05,l3,0,0
i02,e11,c1,p06,l3,1,1
i02,e11,c1,p07,l3,0,0
i02,e11,c1,p08,l3,0,0
i02,e11,c1,p09,l3,0,0
i02,e11,c1,p10,l3,0,0
i02,e11,c1,p11,l3,0,0
i02,e11,c1,p12,l3,0,0
i02,e11,c1,p13,l3,0,0
i02,e11,c1,p14,l3,0,0
i02,e11,c1,p15,l3,0,0
i02,e11,c1,p16,l3,1,1
i02,e11,c1,p17,l3,0,0
i02,e11,c1,p18,l3,0,0
i02,e11,c1,p19,l3,0,0
i02,e11,c1,p20,l3,0,0
i02,e11,c1,p21,l3,0,0
i02,e11,c1,p22,l3,0,0
i02,e11,c1,p23,l3,0,0
i02,e11,c1,p24,l3,0,0
i02,e11,c1,p25,l3,0,0
i02,e11,c1,p26,l3,0,0
i02,e11,c1,p28,l3,0,0
i02,e11,c1,p29,l3,0,0
i02,e11,c1,p31,l3,0,0
i02,e11,c1,p32,l3,0,0
i02,e11,c1,p33,l3,0,0
i02,e11,c1,p35,l3,0,0
i02,e11,c4,p04,l3,0,0
i02,e11,c4,p05,l3,0,0
i02,e11,c4,p07,l3,0,0
i02,e11,c4,p09,l3,0,0
i02,e11,c4,p11,l3,0,0
i02,e11,c4,p13,l3,0,0
i02,e11,c4,p15,l3,0,0
i02,e11,c4,p16,l3,0,0
i02,e11,c4,p17,l3,0,0
i02,e11,c4,p18,l3,0,0
i02,e11,c4,p25,l3,0,0
i02,e11,c4,p28,l3,0,0
i02,e11,c4,p32,l3,0,0
i02,e11,c4,p35,l3,0,0
i02,e12,c1,p06,l3,0,0
i02,e12,c1,p07,l3,0,0
i02,e12,c1,p09,l3,0,0
i02,e12,c1,p10,l3,0,0
i02,e12,c1,p12,l3,0,0
i02,e12,c1,p13,l3,0,0
i02,e12,c1,p16,l3,0,0
i02,e12,c1,p17,l3,0,0
i02,e12,c1,p19,l3,0,0
i02,e12,c1,p35,l3,0,0
i03,e01,c3,p01,l3,0,0
i03,e01,c3,p03,l3,0,0
i03,e01,c3,p04,l3,0,0
i03,e01,c3,p05,l3,0,0
i03,e01,c3,p06,l3,0,0
i03,e01,c3,p09,l3,0,0
i03,e01,c3,p10,l3,0,0
i03,e01,c3,p11,l3,0,0
i03,e01,c3,p15,l3,0,0
i03,e01,c3,p16,l3,0,0
i03,e01,c3,p19,l3,0,0
i03,e01,c3,p21,l3,0,0
i03,e01,c3,p23,l3,0,0
i03,e01,c3,p29,l3,0,0
i03,e01,c3,p35,l3,0,0
i03,e01,c5,p01,l3,3,3
i03,e01,c5,p02,l3,0,0
i03,e01,c5,p03,l3,1,1
i03,e01,c5,p04,l3,0,0
i03,e01,c5,p05,l3,0,0
i03,e01,c5,p06,l3,0,0
i03,e01,c5,p07,l3,0,0
i03,e01,c5,p08,l3,0,0
i03,e01,c5,p09,l3,0,0
i03,e01,c5,p10,l3,4,4
i03,e01,c5,p11,l3,0,0
i03,e01,c5,p12,l3,5,5
i03,e01,c5,p13,l3,0,0
i03,e01,c5,p14,l3,0,0
i03,e01,c5,p15,l3,0,0
i03,e01,c5,p16,l3,2,2
i03,e01,c5,p17,l3,0,0
i03,e01,c5,p18,l3,2,2
i03,e01,c5,p19,l3,0,0
i03,e01,c5,p20,l3,0,0
i03,e01,c5,p21,l3,8,9
i03,e01,c5,p22,l3,0,0
i03,e01,c5,p23,l3,0,0
i03,e01,c5,p24,l3,1,1
i03,e01,c5,p28,l3,0,0
i03,e01,c5,p29,l3,2,2
i03,e01,c5,p30,l3,0,0
i03,e01,c5,p31,l3,0,0
i03,e01,c5,p32,l3,0,0
i03,e01,c5,p35,l3,0,0
i03,e02,c5,p01,l3,0,0
i03,e02,c5,p02,l3,0,0
i03,e02,c5,p03,l3,0,0
i03,e02,c5,p04,l3,0,0
i03,e02,c5,p05,l3,0,0
i03,e02,c5,p07,l3,0,0
i03,e02,c5,p10,l3,0,0
i03,e02,c5,p11,l3,0,0
i03,e02,c5,p12,l3,0,0
i03,e02,c5,p13,l3,0,0
i03,e02,c5,p14,l3,0,0
i03,e02,c5,p15,l3,0,0
i03,e02,c5,p16,l3,0,0
i03,e02,c5,p17,l3,0,0
i03,e02,c5,p18,l3,0,0
